Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ABW,Aruba,346,Gross national savings (% of GDP),% of GDP,,,,,,,,,,,,,,,,29.56,26.397,26.537,27.714,26.185,29.193,25.602,22.528,21.55,25.352,24.261,22.665,21.897,24.051,17.923,13.255,12.481,13.084,15.031,16.78,21.411,21.976,21.844,20.748,21.383,-7.521,-3.45,11.596,16.186,19.558,20.217,20.676
ABW,Aruba,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,71.707,74.002,76.219,77.648,79.416,82.632,85.013,87.832,91.043,93.346,96.518,100,105.392,114.832,112.379,114.714,119.733,120.418,117.562,118.058,118.619,117.514,116.305,120.523,125.27,123.593,123.714,126.165,130.195,134.535,138.212,141.162
ABW,Aruba,352,Population (WEO),Value,,,,,,,0.061,0.06,0.061,0.062,0.064,0.067,0.069,0.074,0.078,0.08,0.083,0.086,0.088,0.09,0.091,0.092,0.092,0.093,0.095,0.098,0.099,0.1,0.101,0.102,0.102,0.103,0.105,0.106,0.108,0.109,0.11,0.111,0.112,0.112,0.113,0.113,0.113,0.114,0.114,0.115,0.115
ABW,Aruba,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,0.622,0.678,0.685,0.643,0.703,0.725,0.764,0.866,0.92,1.18,1.034,1.098,1.084,1.291,1.229,1.337,1.284,1.44,1.438,1.49,1.346,1.342,1.384,1.409,1.4,1.82,1.856,1.509,1.552,1.61,1.636,1.66
ABW,Aruba,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,-0.02,-0.058,-0.058,0.003,0.003,0.022,-0.028,-0.111,0.069,-0.344,-0.125,-0.112,-0.05,0.075,-0.12,-0.153,-0.304,-0.419,-0.295,-0.373,-0.078,-0.078,-0.167,-0.112,0.02,-0.749,-0.858,-0.362,-0.166,-0.066,0.001,0.045
ABW,Aruba,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,0.008,-0.027,-0.023,0.043,0.047,0.063,0.019,-0.062,0.115,-0.258,-0.04,-0.015,0.057,0.214,-0.004,-0.026,-0.166,-0.269,-0.131,-0.185,0.122,0.14,0.055,0.109,0.25,-0.514,-0.6,-0.031,0.178,0.288,0.359,0.402
ABW,Aruba,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,1.302,1.353,1.4,1.223,1.212,1.295,1.505,1.653,1.495,1.717,1.905,2.012,2.136,2.051,2.23,2.401,2.916,3.068,3.42,3.869,3.918,4.026,4.197,4.299,4.319,5.146,6.023,6.406,6.593,6.68,6.701,6.677
ABW,Aruba,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,,2.364,2.47,2.742,2.981,3.084,3.353,3.395,3.512,3.659,4.036,4.224,4.421,4.793,5.089,4.571,4.392,4.722,4.681,4.883,4.996,5.304,5.341,5.535,5.732,5.982,4.399,4.621,5.277,5.852,6.426,6.705,6.944
ABW,Aruba,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,26.332,27.458,24.989,21.574,22.798,21.606,22.508,24.66,25.136,29.245,24.477,24.827,22.62,25.359,26.888,30.443,27.199,30.761,29.454,29.834,25.373,25.119,24.995,24.589,23.399,41.374,40.167,28.592,26.516,25.053,24.394,23.906
ABW,Aruba,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,-0.834,-2.343,-2.102,0.114,0.086,0.645,-0.835,-3.169,1.896,-8.531,-2.957,-2.541,-1.046,1.466,-2.631,-3.487,-6.429,-8.955,-6.048,-7.459,-1.475,-1.455,-3.024,-1.957,0.337,-17.022,-18.561,-6.857,-2.832,-1.028,0.019,0.651
